"filename", "language", "TypeScript", "HTML", "SCSS", "CSS", "comment", "blank", "total"
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d8\d8.component.ts", "TypeScript", 88, 0, 0, 0, 1, 11, 100
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\form-page.module.ts", "TypeScript", 126, 0, 0, 0, 4, 2, 132
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\history\history.component.html", "HTML", 0, 46, 0, 0, 3, 1, 50
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\history\history.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\history\history.component.ts", "TypeScript", 42, 0, 0, 0, 1, 7, 50
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\login\login.component.html", "HTML", 0, 58, 0, 0, 0, 1, 59
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\login\login.component.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\maintenance\maintenance.component.html", "HTML", 0, 10, 0, 0, 1, 1, 12
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\maintenance\maintenance.component.ts", "TypeScript", 11, 0, 0, 0, 0, 3, 14
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\manager\manager-autoactions\manager-autoactions.component.html", "HTML", 0, 419, 0, 0, 0, 1, 420
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\manager\manager-autoactions\manager-autoactions.component.scss", "SCSS", 0, 0, 5, 0, 0, 1, 6
